document_id,dominant_profile,profile_probability
0,4,0.49351149355233015
1,0,0.8805335902369461
2,0,0.6613373065725856
3,4,0.9478458488361678
4,0,0.9303899298568228
5,0,0.8144423936055246
6,4,0.7582608060626822
7,0,0.7902941384421589
8,0,0.16666666666666669
9,3,0.4961176117213483
10,4,0.5160515057276586
11,1,0.7866068104313554
12,0,0.16666666666666669
13,0,0.7906240558183402
14,0,0.5823888724137787
15,0,0.4393203708257499
16,3,0.7422328312093013
17,0,0.5904756069055848
18,0,0.5904756069055848
19,5,0.9063064681586033
20,3,0.7422328312093013
21,3,0.8583507125872382
22,1,0.662925334322768
23,0,0.581477462236271
24,0,0.6016390930541295
25,5,0.5794672254854126
26,0,0.6469948519725419
27,4,0.4859479456777076
28,0,0.6469948519725419
29,1,0.521500433991181
30,0,0.6469948519725419
31,0,0.9070442106695326
32,0,0.3659794329235782
33,4,0.35917620714507925
34,5,0.5794672254854126
35,0,0.6363038420335771
36,0,0.49814777848295394
37,3,0.6840584449008235
38,1,0.5603604473991777
39,3,0.7422328312093013
40,0,0.581477462236271
41,3,0.7902608853756262
42,3,0.8316448570948701
43,0,0.9070442106695326
44,0,0.9303770031730219
45,3,0.5804057827051716
46,3,0.8604480304797969
47,1,0.43778185746605924
48,0,0.9070442106695326
49,0,0.46804674027026477
50,0,0.8154409472464053
51,0,0.6015365900915903
52,1,0.6098064652371681
53,4,0.9235988105968604
54,3,0.620734567234036
55,0,0.8324966176299
56,4,0.7898695923816882
57,0,0.4264600970384632
58,3,0.49913763045365545
59,5,0.5794672254854126
60,0,0.8322134510419837
61,4,0.5395776139135194
62,2,0.929969661918522
63,4,0.5270026747379968
64,1,0.8954421409349254
65,2,0.8320773344760583
66,0,0.8610183847159729
67,0,0.7907576085567164
68,0,0.7907576085567164
69,0,0.7907576085567164
70,0,0.8327861435849166
71,0,0.5833332962102067
72,0,0.7910351644272955
73,0,0.6549027648941665
74,1,0.46061374136730165
75,2,0.5108627405972849
76,5,0.5794672254854126
77,1,0.5838137909418643
78,1,0.6400525160910919
79,0,0.7900936375127139
80,0,0.8326248221415368
81,0,0.7218871580377366
82,3,0.5069650468126506
83,1,0.7904342438837098
84,4,0.8947277378020493
85,4,0.507619887969167
86,4,0.5615990256108093
87,4,0.4079740536290546
88,0,0.7905771481645183
89,5,0.3439148013612918
90,0,0.5821167738106763
91,1,0.7202422944582823
92,0,0.16666666666666669
93,3,0.6744811845282652
94,3,0.722222120896082
95,3,0.7901095165618354
96,0,0.9399304285179018
97,4,0.5003055895891859
98,3,0.4400342946455761
99,5,0.41840148627187734
100,3,0.6625387116090604
101,2,0.4438988994487833
102,3,0.7199848673541945
103,1,0.604605896525222
104,0,0.581477462236271
105,2,0.7903129984719741
106,3,0.9069670195634613
107,0,0.8318055357355202
108,4,0.8608012198987206
109,5,0.47688342174846565
110,4,0.7627850683988563
111,4,0.9441900290210543
112,5,0.6460118782110095
113,5,0.43245976592318064
114,1,0.5023562022759048
115,0,0.6498497487227434
116,2,0.7910563752398615
117,5,0.31344242342014145
118,2,0.5083498959793772
119,2,0.7207666875511908
120,3,0.8327361562666606
121,2,0.48675198212707355
122,2,0.48675198212707355
123,0,0.7220491928525287
124,3,0.7916453821059501
125,2,0.5507344007986708
126,2,0.7903129984719741
127,1,0.7911155441392166
128,3,0.8804074268701783
129,1,0.8326376519792014
130,2,0.4257593278297121
131,3,0.8954750546507818
132,1,0.9164052170947199
133,1,0.9164052170947199
134,1,0.9164052170947199
135,1,0.9164052170947199
136,1,0.9164052170947199
137,1,0.9164052170947199
138,1,0.9164052170947199
139,1,0.9164052170947199
140,1,0.6044444523037565
141,0,0.6330560053069639
142,2,0.5534668683827986
143,0,0.5793344360247172
144,1,0.711575137064762
145,1,0.4249886842120927
146,4,0.38456511016840705
147,4,0.38456511016840705
148,2,0.5028814339549876
149,4,0.7446874307720732
150,1,0.4984129057362792
151,1,0.9297890254560679
152,5,0.5055795776216263
153,2,0.4955738545144832
154,0,0.5250440821057851
155,1,0.522018460185769
156,4,0.42172226688132053
157,0,0.5841436979044304
158,0,0.16666666666666669
159,2,0.8330239068749903
160,2,0.3197093978441138
161,1,0.6295085195543446
162,4,0.5210113766668016
163,1,0.6193047136269433
164,0,0.7199744542587063
165,2,0.45360837252586683
166,1,0.5555393402646102
167,0,0.5125353065537438
168,1,0.47586511518326874
169,1,0.7021731049227471
170,4,0.8593034590547107
171,2,0.6016083817431258
172,1,0.9071801260165839
173,0,0.8803615534418715
174,0,0.42154167539991466
175,0,0.6839489787562532
176,0,0.5750197617368733
177,0,0.491055456639828
178,0,0.7910034877589289
179,0,0.7910034877589289
180,0,0.7910034877589289
181,3,0.5039061421525003
182,1,0.7079257626269236
183,0,0.7361270774246856
184,0,0.7908337464863682
185,0,0.5833332962102067
186,0,0.7910034877589289
187,2,0.6281789187072903
188,2,0.3635278105756321
189,0,0.8327730063626066
190,0,0.6501500248925889
191,0,0.9164306815145624
192,0,0.7219585172840183
193,1,0.7079257626269236
194,2,0.9236575910787821
195,1,0.36370889290419073
196,1,0.5238412937438197
197,1,0.9069690448366511
198,0,0.48730664393917644
199,2,0.5781896070383751
200,0,0.5833332962102067
201,1,0.791051170187408
202,1,0.791051170187408
203,3,0.5821251169984556
204,4,0.5026417318881681
205,1,0.41604797473237265
206,1,0.3428765710828128
207,5,0.7916666174313701
208,1,0.5869470545423942
209,1,0.5869470545423942
210,1,0.9240622999357738
211,3,0.30702351060289207
212,0,0.7209631724310082
213,1,0.405403068945928
214,1,0.8604386281259688
