document_id,cluster_id,coord_x,coord_y
348,1,-0.17189534506707219,0.0230704554354611
349,4,0.056059118984354006,-0.08490921368227378
350,2,0.06826742079604389,-0.023645596077788836
351,4,-0.037064694741052256,-0.061736835379654006
352,4,-0.037064694741052256,-0.061736835379654006
353,1,-0.24522238158344717,0.062487361150488877
354,0,-0.13933877280247964,-0.10173121521263043
355,1,-0.3005810453095692,0.016718563909240036
356,0,-0.08429739611738588,-0.15598807673496662
357,5,-0.004256505015030207,-0.11692919275814326
358,1,-0.3112339949285746,-0.057579593295564835
359,0,-0.09109935108232867,-0.13145862250068158
360,0,-0.10428881571726764,-0.1257373556122966
361,1,-0.2315405982890977,-0.0041671996973261585
362,1,-0.3112339949285746,-0.057579593295564835
363,1,-0.08047765013560595,-0.11585955981300108
364,0,0.023079634162837204,0.0065377194260818755
365,1,-0.15989959144842386,0.07624482392692898
366,4,-0.13918570379995027,-0.0008482556125061907
367,4,-0.09108512888011876,-0.06588003694812536
368,1,-0.26160615564406164,0.016805457910311433
369,4,-0.0636916937655295,0.02750047547286555
370,1,-0.25586026396995676,0.21559454801074884
371,1,-0.25586026396995676,0.21559454801074884
372,5,-0.06585098307078799,-0.09431150850609231
373,0,0.15543100355716727,-0.22843763538253442
374,0,0.09756620016489806,-0.16162045395693486
375,4,0.10845823628053275,-0.028562675752230447
376,0,0.010767230359252929,0.02361277816554279
377,3,0.05563443714441477,0.33855694730816555
378,1,-0.26160615564406164,0.016805457910311433
379,1,-0.27055778727066737,0.030263372765867907
380,3,0.3566223566815938,0.23124159746291917
381,0,-0.14638805501703822,-0.1943728446275098
382,0,-0.14638805501703822,-0.1943728446275098
383,4,-0.10974077379399387,0.08551547392594529
384,4,-0.10974077379399387,0.08551547392594529
385,1,-0.3402103824979871,0.022453831032228727
386,1,-0.2876979422514284,-0.037664044669500574
387,0,-0.08339248994598522,0.08996756824842302
388,2,0.10093261881496102,-0.10686003355670906
389,4,-0.02901935160616461,-0.0862680097096929
390,1,-0.24201485358181662,-0.10006778730196342
391,4,-0.1833300522622303,-0.0962788809516096
392,4,-0.1833300522622303,-0.0962788809516096
393,1,-0.1637808437242907,0.17865507517662993
394,4,-0.09315490453825695,-0.052466452680098405
395,1,-0.23621055091818427,-0.14334822953599757
396,1,-0.4173297484159503,0.06610420814034589
397,1,-0.09576230853123247,-0.055360885592770845
398,1,-0.4173297484159503,0.06610420814034589
399,4,-0.0401057407475183,-0.0060734830262093795
400,0,0.051783314866865035,-0.11169456240107407
401,0,0.051783314866865035,-0.11169456240107407
402,1,-0.25915316631584684,0.20062118683217572
403,4,0.05397115314327876,-0.007404044958276887
404,0,0.051783314866865035,-0.11169456240107407
405,1,-0.29370813941666196,0.08646760248457978
406,4,-0.16267484554069067,-0.06603184864315563
407,1,-0.12388270972532751,0.19168097475476314
408,1,-0.24323364648067788,-0.050797709267463444
409,1,-0.22573240110795098,-0.008034634366209742
410,4,-0.18155782219130298,-0.08030300609329706
411,4,-0.1566182427545052,0.008410276568656214
412,4,-0.02564157964226041,-0.0739080995417852
413,5,-0.004256505015030207,-0.11692919275814326
414,4,-0.10679302380392593,0.04013357106937329
415,1,-0.2508371312207304,-0.12313593410452672
416,1,-0.14337979834255588,-0.005355456195259456
417,1,-0.14161157736294278,-0.022803309665884723
418,1,-0.14161157736294278,-0.022803309665884723
419,1,-0.3534232293875488,-0.042280300327324175
420,1,-0.17189534506707219,0.0230704554354611
421,4,-0.05549708026749128,-0.011158253798833326
422,4,-0.08767390210074584,0.044404211347427044
423,0,0.051783314866865035,-0.11169456240107407
424,1,-0.17801865715599385,-0.05815102036097891
425,1,-0.28343272492697047,-0.08275671576495079
426,1,-0.25819289161974857,-0.02348299837306307
427,1,-0.19371065681187288,0.013586213369436495
428,1,-0.17801865715599385,-0.05815102036097891
429,2,0.46857736991084487,-0.03254727097830092
